Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temp_Diff,Power_Proxy,Tool_Wear_Torque,Machine failure,RUL [min],TWF,HDF,PWF,OSF,RNF
1,0.9989135886031064,0.6042816241171917,-0.460607413938203,0.7183047640697756,-0.8439972598086245,-1.10084184309248,0.8523872475882598,-0.6219445140062273,0,186,0,0,0,0,0
1,-1.5051940762914926,-1.1532598401403102,-0.7755739070376335,0.6384558330577823,0.382263078555401,1.29965826336818,0.48036334870015135,0.6461401437439833,0,108,0,0,0,0,1
1,0.4980920556241866,1.0774658644942483,-1.0076544809003718,0.5586069020457898,0.46086951050181285,0.5995123989838421,0.18404107896420155,0.6895443837072454,0,103,0,0,0,0,0
0,-0.5536331636315563,-0.13929361076096888,-0.7092651716482797,1.6265863543311931,-0.37235866813015317,0.8995749122914317,1.8988607101236603,0.15124670180992447,0,156,0,0,0,0,0
0,-1.4551119229935894,-1.018064342889739,1.0700192279660468,-1.1282017655825582,-0.9068824053657539,1.3996791011373386,-1.0016874444212733,-1.0169089132797688,0,190,0,0,0,0,0
2,-0.8541260834188912,-0.7476733483885967,0.9208245733400008,-0.818787157911086,-1.5671764337156138,0.5995123989837853,-0.5609051385594355,-1.4355612474352215,0,232,0,0,0,0,0
1,0.347845595730505,0.6718793727424964,-1.5270729081169763,1.2273416992712292,-0.0579329403445056,0.2994498856762525,0.5918162245403962,0.4030196623811352,0,136,0,0,0,0,0
2,-1.2047011565041295,-0.6800755997632919,-0.6982137157500541,0.019626617714838552,-0.8911611189764717,1.3996791011373386,-0.3117108438348774,-0.7987529620918691,0,189,0,0,0,0,0
1,1.9504745012630427,2.159029842498856,0.3793032343269449,0.05955108322083481,-0.45096510007656504,-0.700758492015675,0.5166126324221346,-0.3883984973411578,0,161,0,0,0,0,0
2,-1.354947616397811,-0.9504665942644343,-0.5987506126660234,0.19928671249182206,0.02067349160190629,1.29965826336818,0.01048982079957847,0.09762969950236529,0,131,0,0,0,0,0
0,-0.5536331636315563,0.06349963511490707,-0.40535013444707485,0.24919229437431759,1.2469338299659318,1.1996374255990214,0.22562228857847996,1.292487432804752,0,53,0,0,0,0,0
0,-1.0544546966104762,-0.9504665942644343,0.8379386541033086,-1.0383717181940662,0.13072249632688293,0.6995332367530576,-0.9707798520236228,-0.3081857597619917,0,124,0,0,0,0,0
0,-0.4033867037378747,0.46908612686662055,0.0035537337872734807,-0.36963692096862694,1.0582783932945432,1.4996999389065542,-0.3996583247616507,0.726884796028581,0,65,0,0,0,0,0
0,-0.8040439301210163,-1.085662091515044,-0.1345894649405469,0.00964550133833931,1.1211635388516727,-0.0006126276313370987,0.0739163018810113,1.0195797279377046,0,61,0,0,0,0,0
1,0.19759913583682334,-0.13929361076096888,-0.6540078921571515,0.7183047640697756,-1.6929467248298729,-0.6007376542464594,0.6910623103341765,-1.5257739814765117,0,240,0,0,0,0,0
